Record_ID,Year,Region,District,Commodity,Commodity_Category,Farm_Size_Ha,Area_Harvested_Ha,Production_MT,Yield_MT_per_Ha,Farmers_Count,Farmgate_Price_UGX_per_Kg,Estimated_Production_Value_UGX,Input_Cost_UGX,Estimated_Profit_UGX,Profit_Margin_Percent,Export_Volume_MT,Export_Value_USD,Export_Value_UGX,Export_Price_USD_per_MT,Import_Volume_MT,Import_Value_USD,Import_Price_USD_per_MT,Trade_Balance_USD,Export_Share_Percent,Global_Demand_Index,Employment_Estimate,Processing_Level,Value_Addition_Index,Market_Access_Index,Input_Cost_Index,Infrastructure_Index,Rainfall_Index,Climate_Risk_Index,Post_Harvest_Loss_Percent,Access_to_Finance_Index,Data_Status,Source_Basis
UAB-104563,2021,Central,Lwengo,Beef,Livestock & Fisheries,16.24,14.07,22.23,1.58,35,13134,291968820,160999424,108341812,37.11,0.83,3473.21,12434091,4184.59,0.41,1519.64,3706.44,1953.57,3.75,125,60,Chilled Prime Cuts,68,75,142,61,88.0,51,15.5,63.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-105643,2020,Eastern,Tororo,Sugarcane,Industrial Crops,6.26,5.44,398.43,73.24,7,166,66139380,29902845,34612813,52.33,83.99,40756.15,151612878,485.25,34.47,15477.03,449.0,25279.12,21.08,108,10,Raw Cane,25,67,120,68,121.0,10,4.91,65.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-107879,2023,Central,Mubende,Fish,Livestock & Fisheries,4.78,4.05,13.69,3.38,14,11645,159420050,72411344,84450014,52.97,7.21,35175.35,134369837,4878.69,0.4,1689.83,4224.58,33485.52,52.7,120,17,Whole Fresh,15,77,146,80,92.0,25,3.21,58.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-113082,2018,Eastern,Iganga,Sorghum,Cereals,6.05,5.17,6.67,1.29,16,1483,9891610,4874812,4413409,44.62,0.38,119.17,443312,313.61,0.04,11.45,286.25,107.72,5.72,100,26,Malt Grade,58,54,112,60,117.0,10,12.2,57.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-111983,2015,Northern,Kitgum,Groundnuts,Legumes,3.04,2.67,3.04,1.14,8,3319,10089760,4637624,4600560,45.6,0.28,193.78,627847,692.08,0.17,113.84,669.66,79.94,9.08,95,12,Shelling Raw,21,41,86,38,83.0,48,16.88,44.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-109476,2017,Northern,Gulu,Sorghum,Cereals,1.13,1.1,1.35,1.23,3,1324,1787400,793999,875432,48.98,0.09,27.66,99852,307.32,0.08,21.4,267.49,6.26,6.44,95,5,Raw Grain,33,37,114,35,92.0,36,13.2,29.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-111063,2024,Central,Kyenjojo,Cocoa,Export Cash Crops,4.11,3.7,4.14,1.12,10,13672,56602080,32213213,23169092,40.93,4.06,18646.12,72346945,4592.64,0.06,294.61,4910.18,18351.51,98.0,140,13,Fermented Beans,21,98,150,75,127.0,10,4.31,31.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-112566,2016,Eastern,Tororo,Beef,Livestock & Fisheries,1.13,1.03,1.8,1.75,3,12920,23256000,10243320,11481272,49.37,0.14,529.16,1809727,3779.68,0.02,73.68,3683.84,455.48,7.55,80,8,Chilled Prime Cuts,59,43,99,56,91.0,31,13.17,41.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-115604,2020,Northern,Gulu,Cotton,Export Cash Crops,0.62,0.54,0.83,1.53,3,2772,2300760,1103384,925081,40.21,0.54,906.88,3373593,1679.41,0.07,102.99,1471.33,803.89,65.27,99,6,Yarn/Textile,57,32,117,39,123.0,10,23.67,14.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-115929,2017,Northern,Moroto,Sorghum,Cereals,1.47,1.17,2.0,1.71,3,1533,3066000,1757576,1230854,40.15,0.2,62.96,227285,314.78,0.06,20.55,342.45,42.41,10.0,103,6,Malt Grade,54,56,126,39,111.0,23,5.06,36.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-109089,2024,Central,Sembabule,Horticultural Products,Horticulture,1.05,0.91,9.05,9.95,2,5239,47412950,17527436,27763784,58.56,6.79,21162.19,82109297,3116.67,0.03,98.7,3290.12,21063.49,75.07,106,5,Fresh Cut Flowers,61,75,150,70,134.0,10,8.95,67.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-113542,2017,Central,Kayunga,Onions,Horticulture,0.91,0.83,10.9,13.13,3,2419,26367100,11769251,13089650,49.64,0.75,432.36,1560819,576.48,5.38,2730.13,507.46,-2297.77,6.84,112,6,Fresh Bulb,31,67,122,68,114.0,31,11.44,58.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-115764,2021,Western,Ibanda,Cotton,Export Cash Crops,2.06,1.72,1.44,0.84,5,2949,4246560,1775085,2129414,50.14,1.13,2171.32,7773325,1921.52,0.1,175.36,1753.58,1995.96,78.17,117,10,Yarn/Textile,73,56,115,60,74.0,63,16.11,50.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-102380,2021,Western,Kamwenge,Irish Potatoes,Roots & Tubers,2.0,1.87,12.42,6.64,7,1762,21884040,11115486,10098902,46.15,0.27,126.41,452547,468.2,0.36,165.39,459.42,-38.98,2.19,101,11,Fresh Tubers,31,62,131,54,77.0,28,6.12,47.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-103561,2021,Eastern,Jinja,Millet,Cereals,1.29,1.19,1.36,1.14,4,2169,2949840,1653504,1127457,38.22,0.17,75.42,270003,443.63,0.02,8.9,445.04,66.52,12.4,110,9,Composite Flour,52,52,128,67,82.0,50,11.45,37.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-109037,2023,Western,Fort Portal,Soybeans,Legumes,1.9,1.55,2.79,1.8,4,2870,8007300,3926355,3764256,47.01,0.51,307.18,1173427,602.32,0.22,137.33,624.24,169.85,18.43,100,6,Raw Seed,21,64,150,78,145.0,10,7.91,62.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-108176,2021,Eastern,Mayuge,Tea,Export Cash Crops,0.71,0.65,5.91,9.09,2,1509,8918190,4684918,3580014,40.14,5.7,10129.36,36263108,1777.08,0.04,79.1,1977.48,10050.26,96.49,102,4,Made Tea (Black),15,47,138,54,92.0,42,14.65,54.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-115887,2024,Northern,Kitgum,Cocoa,Export Cash Crops,1.7,1.51,1.65,1.09,6,12428,20506200,8656353,10737385,52.36,1.62,7944.66,30825280,4904.11,0.01,46.92,4691.87,7897.74,98.0,127,9,Fermented Beans,34,46,150,63,110.0,20,10.85,19.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-109071,2018,Northern,Dokolo,Sweet Potatoes,Roots & Tubers,4.44,2.98,23.07,7.74,6,543,12527010,4843132,6890918,55.01,0.63,155.89,579910,247.45,0.38,88.27,232.3,67.62,2.75,111,11,Fresh Tuber,35,33,121,49,110.0,22,12.66,29.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-102803,2016,Western,Fort Portal,Irish Potatoes,Roots & Tubers,7.1,5.83,16.73,2.87,10,1439,24074470,13757881,9133328,37.94,0.57,198.86,680101,348.88,0.65,251.69,387.21,-52.83,3.4,93,14,Fresh Tubers,25,59,99,68,56.0,74,9.83,38.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-119951,2024,Northern,Gulu,Coffee,Export Cash Crops,0.4,0.33,0.62,1.89,2,11011,6826820,3754092,2687695,39.37,0.61,2429.83,9427740,3983.32,0.01,35.77,3577.14,2394.06,98.0,112,5,Graded Raw,17,46,150,42,114.0,10,11.28,23.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-116255,2016,Central,Mubende,Fish,Livestock & Fisheries,4.17,3.67,9.73,2.65,7,9921,96531330,51832331,40340609,41.79,4.36,13653.91,46696372,3131.63,0.41,1459.06,3558.68,12194.85,44.77,90,9,Whole Fresh,15,79,105,78,87.0,48,9.03,71.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-110380,2021,Central,Wakiso,Rice,Cereals,1.52,1.44,3.6,2.5,4,4019,14468400,6406871,7509559,51.9,0.31,259.63,929475,837.52,0.51,374.79,734.89,-115.16,8.56,109,5,Milled White Rice,38,82,134,68,75.0,53,7.63,55.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-117881,2018,Western,Kabale,Tea,Export Cash Crops,3.13,2.34,18.93,8.09,8,1527,28906110,11725479,14743845,51.01,18.55,35142.79,130731178,1894.49,0.1,194.22,1942.15,34948.57,98.0,110,14,Value-Added Blends,58,66,94,61,114.0,30,16.86,10.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-112415,2021,Eastern,Busia,Bananas,Roots & Tubers,8.6,6.83,87.77,12.85,12,796,69864920,31744895,34445130,49.3,4.56,1990.39,7125596,436.49,1.26,569.12,451.68,1421.27,5.2,99,23,Puree/Flour/Wine,76,54,146,59,81.0,35,10.52,47.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-118641,2016,Western,Rukungiri,Cotton,Export Cash Crops,3.18,2.88,3.23,1.12,5,2507,8097610,4023245,3603488,44.5,2.31,2974.29,10172071,1287.57,0.1,122.98,1229.84,2851.31,71.37,95,9,Ginned Lint,33,60,127,84,72.0,59,11.63,44.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-119186,2021,Central,Mukono,Tomatoes,Horticulture,1.22,1.05,17.83,16.98,5,2167,38637610,17011231,18009898,46.61,1.55,1230.65,4405727,793.97,0.02,13.51,675.44,1217.14,8.69,122,9,Fresh Produce,44,85,125,85,88.0,34,18.72,55.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-102692,2015,Northern,Pader,Dairy/Milk,Livestock & Fisheries,5.5,4.97,17.2,3.46,11,1154,19848800,9966638,8762689,44.15,4.35,3759.14,12179613,864.17,0.56,494.16,882.42,3264.98,25.27,98,19,UHT/Powder/Cheese,71,42,89,58,101.0,26,11.28,51.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-104802,2015,Central,Mityana,Irish Potatoes,Roots & Tubers,0.3,0.26,1.88,7.23,1,1640,3083200,1678203,1269027,41.16,0.15,61.84,200361,412.28,0.09,31.97,355.25,29.87,8.05,101,2,Crisps/Frozen Potato,56,89,114,79,84.0,47,8.82,51.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-119494,2020,Eastern,Kamuli,Sweet Potatoes,Roots & Tubers,1.77,1.45,15.36,10.59,2,612,9400320,4740392,3740106,39.79,0.39,126.98,472365,325.59,0.13,43.61,335.43,83.37,2.52,74,7,Processed Puree,76,66,150,54,112.0,10,19.57,37.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-117771,2023,Western,Mbarara,Dairy/Milk,Livestock & Fisheries,5.79,5.24,27.04,5.16,17,1605,43399200,24366573,16040252,36.96,6.17,6863.2,26217424,1112.35,0.18,192.7,1070.58,6670.5,22.8,123,24,Raw Liquid Milk,27,64,150,73,113.0,11,13.79,40.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-112265,2016,Western,Rukungiri,Rice,Cereals,2.43,2.24,7.26,3.24,4,3132,22738320,8921754,11716682,51.53,0.28,190.02,649868,678.64,3.3,2011.84,609.65,-1821.82,3.88,94,7,Milled White Rice,46,61,104,61,75.0,59,18.47,34.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-108411,2019,Western,Bushenyi,Dairy/Milk,Livestock & Fisheries,14.21,13.38,55.13,4.12,32,1417,78119210,32061600,43975733,56.29,8.76,8954.47,33131538,1022.2,3.24,3755.22,1159.02,5199.25,15.89,114,62,UHT/Powder/Cheese,91,81,132,65,121.0,10,5.33,57.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-102650,2023,Eastern,Pallisa,Sugarcane,Industrial Crops,2.42,2.04,103.9,50.93,5,222,23065800,12590735,8470646,36.72,10.25,5429.43,20740422,529.7,1.3,629.1,483.92,4800.33,9.87,121,9,Refined Sugar,36,70,135,60,92.0,27,17.38,48.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-117203,2021,Central,Kyenjojo,Sweet Potatoes,Roots & Tubers,1.79,1.27,9.79,7.71,5,680,6657200,2865070,3663313,55.03,0.17,55.99,200444,329.37,0.41,138.66,338.19,-82.67,1.74,117,6,Processed Puree,57,89,110,74,89.0,41,3.87,54.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-103075,2024,Northern,Yumbe,Soybeans,Legumes,5.02,4.58,7.47,1.63,15,2962,22126140,10657725,9706067,43.87,1.41,933.19,3620777,661.84,0.94,706.94,752.06,226.25,18.92,117,20,Raw Seed,29,53,142,47,110.0,17,15.93,27.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-105339,2017,Eastern,Kamuli,Fish,Livestock & Fisheries,1.05,0.95,3.57,3.76,2,8636,30830520,14120934,15578105,50.53,1.46,6973.85,25175598,4776.61,0.1,508.26,5082.61,6465.59,40.99,70,5,Fishmeal/Dried,87,70,112,61,91.0,39,7.34,43.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-106662,2024,Northern,Moroto,Millet,Cereals,0.84,0.71,1.1,1.55,2,2319,2550900,1306764,1167226,45.76,0.07,38.68,150078,552.55,0.0,0.0,514.26,38.68,6.6,134,4,Composite Flour,60,36,150,62,119.0,10,6.03,25.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-109288,2017,Eastern,Busia,Sugarcane,Industrial Crops,6.25,5.2,265.72,51.1,11,164,43578080,16730398,24971645,57.3,15.97,7572.97,27338421,474.2,1.78,792.28,445.1,6780.69,6.01,107,19,Refined Sugar,44,57,112,54,101.0,19,8.61,35.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
UAB-107169,2023,Central,Sembabule,Sweet Potatoes,Roots & Tubers,0.3,0.25,2.6,10.4,2,790,2054000,863175,1139166,55.46,0.03,10.94,41790,364.73,0.07,26.22,374.63,-15.28,1.31,131,2,Fresh Tuber,41,83,150,66,98.0,29,5.03,55.0,Synthetic,Modeled Calibration (UBOS/MAAIF/FAOSTAT/UN Comtrade/BOU Patterns)
